fen,eval
8/B3p3/2K1p1p1/4Pkpb/5pn1/2P2N1B/4PP2/6R1 w - -,14
k1B5/2p5/NbN5/8/P2p4/P2p4/P1prp3/2RbK3 w - -,-50
K1R5/1P1r1n2/1pR3N1/2p1p2r/1BpkBp1N/1bp2Q2/2P2P2/1n2b3 w - -,-49
k7/1pR2R2/p6r/8/1N6/2K5/3P4/4B3 w - -,-24
k7/1pRN1p2/p3r2p/Q2N2p1/3PPP2/8/5P1P/R5K1 w - -,68
n3b3/Npp4R/p1pp4/k7/N7/Kp6/8/R5B1 w - -,19
2brrb2/8/7p/Q7/1pPpk1p1/1K1Np1P1/4P3/8 w - -,120
2B2N2/3r1N2/8/R2Qn3/6k1/8/5B2/3K3R w Kk -,103
K3N3/2BRb2B/p4pQ1/1pppp1R1/3k2P1/1PNp3r/3P1P2/q3r2b w - -,-150
4R3/8/8/1K3p2/5p2/2B5/2BNPp1R/4k1b1 w - -,149
2R5/2p3N1/3kp3/RP6/4Q3/3K3B/8/8 w - -,88
kr6/pnPPP1PP/P2NB1N1/R7/3B4/5Q2/2PK3P/1R6 w - -,-30
B7/2R5/N3p3/4P3/r2k2K1/3N4/3Q4/8 w - -,24
8/4R3/p3p2b/kn3p2/1p1N2p1/3PB2p/1P1NP2r/4K3 w - -,-40
8/2R5/3P1K2/3k4/8/B1ppPP1b/2p5/8 w - -,-50
8/B7/5R2/p1rN4/Q1bk4/8/6B1/R2K4 w Qq -,-79
rnb1kbnr/pp1pppp1/7p/2q5/5P2/N1P1P3/P2P2PP/R1BQKBNR w KQkq -,307
3b4/5k2/1R2p3/1n1r4/pP1PN2p/P3PK1P/1B6/8 w - -,65
3b4/6p1/7p/3k4/R2N4/6K1/1r4P1/8 b - -,113
4r3/2p4p/4k1pP/1N6/1R6/8/b1P2PP1/3K4 b - -,-89
r1b2rk1/ppq1n1pp/n2bpp2/3p4/PP2P3/2P3P1/4NPBP/RNBQK2R w KQ -,25
8/6k1/6p1/1b2R2p/5N1P/6K1/8/8 b - -,62
8/6pk/3R1p1p/7r/5P2/P3R3/6K1/r7 w - -,106
8/3k4/pq6/7K/4Q2P/3P4/8/8 b - -,12
r4rkb/1ppq1p2/4p2p/p3P3/3N2P1/1P6/4QP2/R2R2K1 w - -,5
r7/5p2/4p1k1/5p2/5P1b/7P/6PK/4R3 w - -,18
1rbqk2r/ppp2ppp/2n2n2/3p4/P7/2Q1B3/1PP1BPPP/RN2K2R b KQk -,162
5k2/5p2/8/7p/6pP/K1N5/8/8 b - -,-7
7R/kp6/p7/r5P1/8/8/6PK/8 w - -,76
8/B5p1/5p2/8/2k5/5Pp1/2r2N2/5K2 w - -,-29
2rqr1k1/1p1n1ppp/p3p1b1/3pP3/Q2N4/6BP/PP2BPP1/R2R2K1 b - -,149
7r/r1b2Qp1/7p/6k1/5P2/7P/8/6K1 b - -,240
r1q2rk1/p2pbpp1/np2p2p/4B3/2P1N3/1P6/P3BPPP/R2Q1RK1 b - -,83
6k1/6p1/p1P1rp2/P7/7P/2Q2PKP/6R1/7q b - -,38
r2q2k1/ppp3p1/4b1p1/1P6/P1pP4/4PP2/7P/R1BQ2K1 w - -,-1
8/2k5/1p1r4/5R2/p3p2p/1r5P/6PK/5R2 w - -,5
1rb1k1r1/pp1p1p2/4p3/2pn3p/4P3/1P1P3N/PB1P1PP1/R3K2R b KQ -,121
rn4k1/6p1/3Pp2p/4P3/p4r1P/P1B5/1P4PK/8 w - -,67
8/6pk/p4r1p/2p5/2N5/PP1P1PP1/4R1K1/8 b - -,104
8/1q2k1p1/8/2p5/6PP/5PK1/3Q4/8 b - -,21
1krr4/2N1n2p/1p3pp1/4p3/2R4P/1P2P3/4KP2/2R5 w - -,-95
2r3k1/r3pp2/1R3bp1/7p/2Pp1P1P/1P1P4/P5b1/1K2B3 b - -,-25
4r3/4k3/1R2P3/8/7p/1K6/7p/8 w - -,105
rnb1kb1r/1pp1pppp/5n2/p2pN3/3P1B1P/P1N5/1qP1PPP1/R2QKB1R w KQkq -,171
8/2p2p2/1p2k1pp/8/1p2KPP1/1P1P4/7P/8 b - -,73
3rr1k1/pp3ppp/4pn2/Pbb5/1nP5/4PN2/RB2BPPP/5RK1 w - -,92
Q5k1/5n1p/2p3p1/5p2/2P5/1n5P/1q3PBP/3R2K1 b - -,97
8/2p5/5kp1/p1pP3p/Pr2rbpP/1P1BP3/4RK2/6R1 b - -,-38
6k1/p7/1pN2b2/6p1/5B1p/P1p2P1P/2P5/4r1K1 w - -,29
8/pb2N3/2p5/p2p2k1/8/PP6/1KP2R2/8 b - -,-26
7r/n4k2/4N3/p3b3/PpB5/1P2NK2/3R1P2/8 w - -,37
r1bqk2r/pp1n1ppp/2pbpn2/3p4/3NP2P/3P2P1/PPP2PB1/RNBQ1RK1 w kq -,-129
r7/6k1/3r1ppp/8/1pN2PP1/3P3P/PR4QK/8 b - -,46
r3r1k1/1p1bbpp1/p1qp1n2/2p4p/4P3/1QNPBBP1/PP3P1P/R3R1K1 b - -,66
rnb1k2r/pp2pp2/3p1b2/2q5/6P1/2N4P/PPPQP3/R3KBNR w KQkq -,224
8/3B4/8/1pk5/p6R/n5r1/K7/8 w - -,28
r2qkb2/pp1nnp1B/4p2p/3p4/3Q1P1P/2P5/PP5P/RN2K1B1 b Qq -,37
7r/ppk1ppbp/4b1p1/8/2P5/7P/PP2BPP1/n1BK2R1 b - -,134
rnb1k1nr/ppp1ppbp/6p1/8/2q3PP/2P4R/PP1P1P2/RNBQK1N1 w Qkq -,45
4Q3/8/5k2/p7/P2K4/8/4B3/8 b - -,-6
6r1/2p5/1p1p1k2/p2PpN2/2P1Pn2/P4P2/1P1K3R/8 b - -,-53
8/p5k1/b6p/8/1P2P3/3P2PP/5PK1/2n5 w - -,111
6R1/5p2/p6k/8/r2P3p/5P2/8/4K3 w - -,10
8/5kp1/1p2rp2/7p/5K2/P4P1P/1R4P1/8 w - -,33
8/8/B3pp2/3k4/p2Pp2N/1r2R1K1/5P2/r7 w - -,-33
1q2k2r/3nbpp1/4p2p/p2b4/N2P2B1/P7/2QN1PPP/1R4K1 b k -,42
r1q2rk1/1pp5/pbn1bp2/4p3/8/P2P1N1P/1PPB1PP1/R2QR1K1 w - -,-77
4r3/5R2/bp1k4/8/5P2/2P5/1P3K2/8 w - -,57
8/5p1p/5k2/8/r6P/8/2K2P1P/8 w - -,-45
r4rk1/ppn3pp/1qp1bb2/3p1p2/3P1P2/P1B1PNP1/1PQ3BP/2R2RK1 b - -,19
8/8/1P1K2p1/6k1/8/5R1p/8/8 b - -,-3
rnbqkb1r/pp3ppp/4pn2/3p4/8/1QP2NP1/P3PPBP/RNB2RK1 b kq -,53
1R6/4p3/5k2/6p1/4p1P1/r3P3/5PK1/8 w - -,-75
8/5k2/4p3/4P3/1p3Kp1/1Nb5/6P1/2B5 b - -,-7
7k/R7/4P2K/5n1P/3p4/1r6/8/8 w - -,0
4k2r/rpqb1ppp/p3pn2/8/8/3pP3/PP1B1PPP/RN1Q1RK1 w k -,4
8/8/2n5/7K/8/8/3k4/8 w - -,-24
2kr3r/npp1b1p1/7p/5P1n/2N1p3/2P2N1P/PP2KPP1/R6R w - -,103
rn1q1bnr/ppp1k1pp/5p2/3p4/3P2bP/3B4/PPP1NPP1/RNBQ1RK1 b - -,31
6q1/8/8/1Q6/p6k/P1P3p1/8/4K3 b - -,-44
r1bqkb1r/4pp1p/2pp1np1/ppn1P3/3P4/P1N2N2/1PP2PPP/R1BQKB1R b KQkq -,66
rn2kb1r/pp1b1ppp/2p1p3/1B1P3n/3P4/1PP5/P4PPP/RNB2KNR w kq -,59
8/1b6/8/2r2k2/P1p2P1p/2N1K3/8/5R2 w - -,-23
8/8/1p4k1/p5pp/3q4/1Q4KP/8/8 w - -,32
r1bqkb1r/pp3ppp/2p1p3/3pP3/8/4P3/PPP1BNPP/RNBQK2R w KQkq -,105
8/6pk/4p2p/3pP1p1/3B2P1/5P2/2n5/6K1 w - -,-41
r3kr2/1p1n1p2/q1p3pp/3p4/p2PP3/P1N2P1P/1PQ2P2/1K1R3R b q -,210
6k1/6p1/6b1/4p2P/p1P3P1/bn6/6K1/5N1R b - -,206
8/Q3bpk1/8/8/4q2p/p3P2P/5K2/8 w - -,-115
6k1/1p3pp1/p7/3p4/4rPb1/B5P1/5R1P/3r1QK1 w - -,56
2r5/5p1k/4r1p1/p2p3p/3B3P/1R1R1P2/PP6/1K6 b - -,-52
rnbqk2r/2b2ppp/2pp1n2/p3p3/2N4P/2PP1N2/P3PPP1/R1BQKB1R w KQkq -,90
8/8/4pk2/R3b3/B1r5/5p2/5K2/8 b - -,-7
7r/2R5/3p4/kB4b1/5p2/1P6/5PK1/8 w - -,98
8/8/8/2p1pp1p/2K2b2/1P2NP1k/5P2/8 b - -,-28
2r5/7k/5bp1/p7/8/4NKP1/2B4P/8 w - -,24
rnbqr1k1/1pN3pp/p3pn2/Q2p1p2/3P4/4PN1P/PPP2PP1/R3KB1R b KQ -,71
8/b7/2k5/1p4K1/6Pp/1P5P/8/3B4 b - -,-1
r2qkbr1/1ppb1ppp/p1n1pn2/3pP3/8/1P1P1N2/PBPN1PPP/R2QKB1R b KQq -,92
8/1k6/5R2/P7/6P1/5K2/1r6/8 b - -,-59
7b/8/8/4p3/5k2/8/2K5/3B4 w - -,-21
1k2r3/1p5p/RP1n1Bp1/3r4/2p2P2/2Pb3P/8/2K4R w - -,203
r1bqkb1n/1p1p2p1/p1n1ppp1/2p5/P1P5/1PN1P3/3P1PPP/R1B1K1NR w KQq -,42
8/8/4K3/2N5/8/8/3k4/6r1 w - -,-29
7r/Qpq1kp2/2p1p2P/2PpP3/8/4P3/PP3P2/1K5R b - -,31
5N2/4K3/8/6k1/6n1/8/8/8 w - -,11
rnb1k2r/1pppqppp/p3pn2/8/8/2NP1N2/PPP1PPPP/R2QKB1R b KQkq -,218
2r3k1/4qpp1/1pb1p2p/p2p4/P2P4/1P1BP3/5PPP/Q1R3K1 w - -,34
8/6k1/4P3/4b1p1/4B1P1/1r6/4K3/5R2 w - -,-11
8/8/8/3pk3/p7/5r2/3K4/7R b - -,68
2b2rk1/4bpp1/p3p2p/n1p1P3/P1p1q3/2P2NBP/1Q3PP1/1RN3K1 w - -,-11
8/1p4p1/5k2/p7/2n2N1P/r2B1KP1/8/8 b - -,-25
8/1pp3k1/5b2/r3p1p1/b1pPP3/2P1B2P/4K1P1/R6R w - -,-49
r3k1nB/1b1n1p2/p3p3/7p/Pp6/3B4/1P4qP/2NQK1NR w q -,-53
3B4/6p1/2p5/p2k4/P7/3b4/5PPP/6K1 b - -,16
4r3/1p6/2p3kp/p2pPp2/q4P2/4Q1PP/1P1R2K1/8 w - -,42
rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -,216
rnbqkbnr/pppppp1p/8/6p1/8/4P3/PPPP1PPP/RNBQKBNR w KQkq g6,174
rnbqkbnr/pppppp1p/8/6p1/8/N3P3/PPPP1PPP/R1BQKBNR b KQkq -,176
rnbqkbnr/pp1ppp1p/2p5/6p1/8/N3P3/PPPP1PPP/R1BQKBNR w KQkq -,130
rnbqkbnr/pp1ppp1p/2p5/6p1/8/N3P2P/PPPP1PP1/R1BQKBNR b KQkq -,217
rnbqk1nr/pp1pppbp/2p5/6p1/8/N3P2P/PPPP1PP1/R1BQKBNR w KQkq -,47
rnbqk1nr/pp1pppbp/2p5/1B4p1/8/N3P2P/PPPP1PP1/R1BQK1NR b KQkq -,196
rnbqk1nr/pp1pp1bp/2p2p2/1B4p1/8/N3P2P/PPPP1PP1/R1BQK1NR w KQkq -,103
rnbqk1nr/pp1pp1bp/2p2p2/1B4p1/8/N3P2P/PPPPQPP1/R1B1K1NR b KQkq -,235
rnb1k1nr/ppqpp1bp/2p2p2/1B4p1/8/N3P2P/PPPPQPP1/R1B1K1NR w KQkq -,126
rnb1k1nr/ppqpp1bp/2p2p2/1B4p1/8/N3P2P/PPPPQPPR/R1B1K1N1 b Qkq -,242
rnb1k1nr/ppqp2bp/2p1pp2/1B4p1/8/N3P2P/PPPPQPPR/R1B1K1N1 w Qkq -,91
rnb1k1nr/ppqp2bp/2p1pp2/1B4p1/8/N3P2P/PPPP1PPR/R1BQK1N1 b Qkq -,171
rnb1k1nr/p1qp2bp/1pp1pp2/1B4p1/8/N3P2P/PPPP1PPR/R1BQK1N1 w Qkq -,60
rnb1k1nr/p1qp2bp/1pp1pp2/1B4p1/8/4P2P/PPPP1PPR/RNBQK1N1 b Qkq -,187
rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq c3,252
rnbqkbnr/1ppppppp/p7/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq -,289
rnbqkbnr/1ppppppp/p7/8/2P5/N7/PP1PPPPP/R1BQKBNR b KQkq -,285
rnbqkbnr/2pppppp/pp6/8/2P5/N7/PP1PPPPP/R1BQKBNR w KQkq -,259
rnbqkbnr/2pppppp/pp6/2P5/8/N7/PP1PPPPP/R1BQKBNR b KQkq -,312
rnbqkbnr/2ppppp1/pp5p/2P5/8/N7/PP1PPPPP/R1BQKBNR w KQkq -,271
rnbqkbnr/2ppppp1/pp5p/2P5/7P/N7/PP1PPPP1/R1BQKBNR b KQkq h3,317
rn1qkbnr/1bppppp1/pp5p/2P5/7P/N7/PP1PPPP1/R1BQKBNR w KQkq -,219
rn1qkbnr/1bppppp1/pp5p/2P5/7P/N7/PP1PPPPR/R1BQKBN1 b Qkq -,257
rn1qkbnr/1bp1ppp1/pp5p/2Pp4/7P/N7/PP1PPPPR/R1BQKBN1 w Qkq d6,203
rn1qkbnr/1bp1ppp1/pp5p/2Pp4/7P/8/PPNPPPPR/R1BQKBN1 b Qkq -,275
rn1qkbn1/1bp1pppr/pp5p/2Pp4/7P/8/PPNPPPPR/R1BQKBN1 w Qq -,161
rn1qkbn1/1bp1pppr/pp5p/2Pp3P/8/8/PPNPPPPR/R1BQKBN1 b Qq -,227
rn1qkbn1/1bp1p1pr/pp3p1p/2Pp3P/8/8/PPNPPPPR/R1BQKBN1 w Qq -,159
rn1qkbn1/1bp1p1pr/pp3p1p/2Pp3P/3P4/8/PPN1PPPR/R1BQKBN1 b Qq d3,193
rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq g3,233
rnbqkbnr/pppp1ppp/4p3/8/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,145
rnbqkbnr/pppp1ppp/4p3/8/6PP/8/PPPPPP2/RNBQKBNR b KQkq h3,175
r1bqkbnr/pppp1ppp/2n1p3/8/6PP/8/PPPPPP2/RNBQKBNR w KQkq -,113
r1bqkbnr/pppp1ppp/2n1p3/8/6PP/7R/PPPPPP2/RNBQKBN1 b Qkq -,155
r1bqk1nr/pppp1ppp/2n1p3/2b5/6PP/7R/PPPPPP2/RNBQKBN1 w Qkq -,119
r1bqk1nr/pppp1ppp/2n1p3/2b5/6PP/2P4R/PP1PPP2/RNBQKBN1 b Qkq -,163
r1bqk2r/ppppnppp/2n1p3/2b5/6PP/2P4R/PP1PPP2/RNBQKBN1 w Qkq -,77
r1bqk2r/ppppnppp/2n1p3/2b5/6PP/2PP3R/PP2PP2/RNBQKBN1 b Qkq -,172
r1bqk2r/pppp1ppp/2n1p1n1/2b5/6PP/2PP3R/PP2PP2/RNBQKBN1 w Qkq -,78
r1bqk2r/pppp1ppp/2n1p1n1/2b3B1/6PP/2PP3R/PP2PP2/RN1QKBN1 b Qkq -,119
r1bqk2r/pppp1ppp/4p1n1/2b3B1/1n4PP/2PP3R/PP2PP2/RN1QKBN1 w Qkq -,87
r1bqk2r/pppp1ppp/4p1n1/2b3B1/1n4PP/2PP3R/PP1KPP2/RN1Q1BN1 b kq -,154
r1bqk2r/pppp1ppp/4p3/2b1n1B1/1n4PP/2PP3R/PP1KPP2/RN1Q1BN1 w kq -,65
r1bqk2r/pppp1ppp/4p2B/2b1n3/1n4PP/2PP3R/PP1KPP2/RN1Q1BN1 b kq -,102
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq d3,224
rnbqkbnr/pppppp1p/8/6p1/3P4/8/PPP1PPPP/RNBQKBNR w KQkq g6,228
rnbqkbnr/pppppp1p/8/6p1/3P4/N7/PPP1PPPP/R1BQKBNR b KQkq -,179
rnbqkbnr/ppppp2p/8/5pp1/3P4/N7/PPP1PPPP/R1BQKBNR w KQkq f6,240
rnbqkbnr/ppppp2p/8/5pp1/3P4/N6P/PPP1PPP1/R1BQKBNR b KQkq -,235
rnbqk1nr/ppppp2p/7b/5pp1/3P4/N6P/PPP1PPP1/R1BQKBNR w KQkq -,162
rnbqk1nr/ppppp2p/7b/5pp1/3P4/N6P/PPPQPPP1/R1B1KBNR b KQkq -,285
rnbqk1nr/1pppp2p/p6b/5pp1/3P4/N6P/PPPQPPP1/R1B1KBNR w KQkq -,170
rnbqk1nr/1pppp2p/p6b/5pp1/3P4/N6P/PPP1PPP1/R1BQKBNR b KQkq -,260
rnbqk2r/1pppp2p/p4n1b/5pp1/3P4/N6P/PPP1PPP1/R1BQKBNR w KQkq -,122
rnbqk2r/1pppp2p/p4n1b/5pp1/3P4/N4P1P/PPP1P1P1/R1BQKBNR b KQkq -,235
rnbqk2r/1pppp2p/p4n1b/6p1/3P1p2/N4P1P/PPP1P1P1/R1BQKBNR w KQkq -,197
rnbqk2r/1pppp2p/p4n1b/6p1/3P1p2/NP3P1P/P1P1P1P1/R1BQKBNR b KQkq -,222
rnbqk2r/1p1pp2p/p4n1b/2p3p1/3P1p2/NP3P1P/P1P1P1P1/R1BQKBNR w KQkq c6,205
rnbqk2r/1p1pp2p/p4n1b/2p3p1/3P1p1P/NP3P2/P1P1P1P1/R1BQKBNR b KQkq -,209
rnb1k1nr/p1q3bp/1ppppp2/1B4p1/8/4P2P/PPPP1PPR/RNBQK1N1 w Qkq -,46
rnb1k1nr/p1q3bp/1ppppp2/6p1/8/4P2P/PPPP1PPR/RNBQKBN1 b Qkq -,179
rnbqk1nr/p5bp/1ppppp2/6p1/8/4P2P/PPPP1PPR/RNBQKBN1 w Qkq -,21
rnbqk1nr/p5bp/1ppppp2/6p1/2B5/4P2P/PPPP1PPR/RNBQK1N1 b Qkq -,161
rnbq2nr/p2k2bp/1ppppp2/6p1/2B5/4P2P/PPPP1PPR/RNBQK1N1 w Q -,36
rnbq2nr/p2k2bp/Bppppp2/6p1/8/4P2P/PPPP1PPR/RNBQK1N1 b Q -,68
rnbq1bnr/p2k3p/Bppppp2/6p1/8/4P2P/PPPP1PPR/RNBQK1N1 w Q -,115
rnbq1bnr/p2k3p/Bppppp2/6p1/4P3/7P/PPPP1PPR/RNBQK1N1 b Q -,71
rnbq1bnr/p2k4/Bppppp2/6pp/4P3/7P/PPPP1PPR/RNBQK1N1 w Q h6,187
rnbq1bnr/p2k4/Bppppp2/6pp/4P3/1P5P/P1PP1PPR/RNBQK1N1 b Q -,37
rnbq2nr/p2kb3/Bppppp2/6pp/4P3/1P5P/P1PP1PPR/RNBQK1N1 w Q -,127
rnbq2nr/p2kb3/Bppppp2/6pp/4PP2/1P5P/P1PP2PR/RNBQK1N1 b Q f3,14
rnbq2n1/p2kb3/Bppppp1r/6pp/4PP2/1P5P/P1PP2PR/RNBQK1N1 w Q -,129
rnbq2n1/p2kb3/Bppppp1r/6pp/4PP2/PP5P/2PP2PR/RNBQK1N1 b Q -,-32
rnbq2n1/p2kb3/Bpppp2r/5ppp/4PP2/PP5P/2PP2PR/RNBQK1N1 w Q -,176
rnbq2n1/p2kb3/Bpppp2r/5ppp/P3PP2/1P5P/2PP2PR/RNBQK1N1 b Q -,4
rnb3n1/p1qkb3/Bpppp2r/5ppp/P3PP2/1P5P/2PP2PR/RNBQK1N1 w Q -,155
rnb3n1/p1qkb3/Bpppp2r/5ppp/P3PP2/1PP4P/3P2PR/RNBQK1N1 b Q -,24
rnbk2n1/p1q1b3/Bpppp2r/5ppp/P3PP2/1PP4P/3P2PR/RNBQK1N1 w Q -,185
rnbk2n1/p1q1b3/Bpppp2r/5Ppp/P4P2/1PP4P/3P2PR/RNBQK1N1 b Q -,33
rnb1k1n1/p1q1b3/Bpppp2r/5Ppp/P4P2/1PP4P/3P2PR/RNBQK1N1 w Q -,212
rnb1k1n1/p1q1b3/Bpppp2r/P4Ppp/5P2/1PP4P/3P2PR/RNBQK1N1 b Q -,48
r1b1k1n1/p1qnb3/Bpppp2r/P4Ppp/5P2/1PP4P/3P2PR/RNBQK1N1 w Q -,209
r1b1k1n1/p1qnb3/1pppp2r/P4Ppp/5P2/1PP4P/3P2PR/RNBQKBN1 b Q -,118
r3k1n1/pbqnb3/1pppp2r/P4Ppp/5P2/1PP4P/3P2PR/RNBQKBN1 w Q -,144
rn1qkbn1/1bp1p1pr/p4p1p/2pp3P/3P4/8/PPN1PPPR/R1BQKBN1 w Qq -,93
rn1qkbn1/1bp1p1pr/p4p1p/2pp3P/3P4/8/PPNKPPPR/R1BQ1BN1 b q -,114
rn2kbn1/1bp1p1pr/p2q1p1p/2pp3P/3P4/8/PPNKPPPR/R1BQ1BN1 w q -,91
rn2kbn1/1bp1p1pr/p2q1p1p/2pp3P/3P4/8/PPNKPPPR/R1B1QBN1 b q -,146
rn2kbn1/1bp1p1pr/p4p1p/2ppq2P/3P4/8/PPNKPPPR/R1B1QBN1 w q -,100
rn2kbn1/1bp1p1pr/p4p1p/2ppq2P/3P4/8/PPNKPPPR/1RB1QBN1 b q -,167
rn2kbn1/1bp1p1pr/p4p1p/2pp3P/3P4/8/PPNKqPPR/1RB1QBN1 w q -,25
rn2kbn1/1bp1p1pr/p4p1p/2pp3P/3P4/8/PPN1KPPR/1RB1QBN1 b q -,139
rn2kbn1/1bp1p1pr/p4p1p/3p3P/2pP4/8/PPN1KPPR/1RB1QBN1 w q -,20
rn2kbn1/1bp1p1pr/p4p1p/3p3P/2pP3R/8/PPN1KPP1/1RB1QBN1 b q -,169
rn2kbn1/1bp1p1pr/5p1p/p2p3P/2pP3R/8/PPN1KPP1/1RB1QBN1 w q -,96
rn2kbn1/1bp1p1pr/5p1p/p2p3P/2pP3R/4K3/PPN2PP1/1RB1QBN1 b q -,77
rn2kbn1/1bp1p1pr/7p/p2p1p1P/2pP3R/4K3/PPN2PP1/1RB1QBN1 w q -,159
rn2kbn1/1bp1p1pr/7p/p2p1p1P/2pP1R2/4K3/PPN2PP1/1RB1QBN1 b q -,122
rnb1kbn1/2p1p1pr/7p/p2p1p1P/2pP1R2/4K3/PPN2PP1/1RB1QBN1 w q -,146
rnb1kbn1/2p1p1pr/7p/p2p1p1P/1QpP1R2/4K3/PPN2PP1/1RB2BN1 b q -,111
rn2kbn1/1bp1p1pr/7p/p2p1p1P/1QpP1R2/4K3/PPN2PP1/1RB2BN1 w q -,123
rn2kbn1/1bp1p1pr/7p/p2p1p1P/2pP1R2/Q3K3/PPN2PP1/1RB2BN1 b q -,128
rn3bn1/1bp1pkpr/7p/p2p1p1P/2pP1R2/Q3K3/PPN2PP1/1RB2BN1 w - -,134
rn3bn1/1bp1pkpr/7p/p2p1p1P/2pP4/Q3KR2/PPN2PP1/1RB2BN1 b - -,66
rnb2bn1/2p1pkpr/7p/p2p1p1P/2pP4/Q3KR2/PPN2PP1/1RB2BN1 w - -,203
rnb2bn1/2p1pkpr/7p/p2p1p1P/2pP4/Q3KR2/PP3PP1/1RB1NBN1 b - -,70
1nb2bn1/r1p1pkpr/7p/p2p1p1P/2pP4/Q3KR2/PP3PP1/1RB1NBN1 w - -,203
1nb2bn1/r1p1pkpr/7p/p2p1p1P/2pP4/Q3KRP1/PP3P2/1RB1NBN1 b - -,88
1nb2bn1/r1p1p1pr/4k2p/p2p1p1P/2pP4/Q3KRP1/PP3P2/1RB1NBN1 w - -,156
r1bqk2r/pppp1ppp/4p2B/4n3/1n1b2PP/2PP3R/PP1KPP2/RN1Q1BN1 w kq -,-10
r1bqk2r/pppp1ppp/4p2B/4n3/1n1b2PP/2PP2R1/PP1KPP2/RN1Q1BN1 b kq -,71
r1bqk2r/pppp1ppp/4p2B/8/1n1b2PP/2PP1nR1/PP1KPP2/RN1Q1BN1 w kq -,-3
r1bqk2r/pppp1ppp/4p2B/8/1n1b2PP/2PP1nR1/PP2PP2/RNKQ1BN1 b kq -,160
r1bqk2r/p1pp1ppp/4p2B/1p6/1n1b2PP/2PP1nR1/PP2PP2/RNKQ1BN1 w kq b6,-4
r1bqk2r/p1pp1ppp/4p2B/1p6/1n1b2PP/1QPP1nR1/PP2PP2/RNK2BN1 b kq -,138
